,Final Volume (Vf) [m³],Adiabatic Work (J)
0,0.1,-0.0
1,0.10408163265306122,-98.98719470752823
2,0.10816326530612246,-192.68407179721896
3,0.11224489795918369,-281.55755803065614
4,0.1163265306122449,-366.0182651981159
5,0.12040816326530612,-446.4289792771838
6,0.12448979591836735,-523.111630984395
7,0.1285714285714286,-596.3530593829307
8,0.1326530612244898,-666.4098085465388
9,0.13673469387755102,-733.5121437589736
10,0.14081632653061227,-797.8674333599496
11,0.14489795918367349,-859.6630116184969
12,0.1489795918367347,-919.0686144186628
13,0.15306122448979592,-976.238461277035
14,0.15714285714285714,-1031.3130429643036
15,0.16122448979591839,-1084.4206628100221
16,0.1653061224489796,-1135.678770916387
17,0.16938775510204082,-1185.1951234592486
18,0.17346938775510207,-1233.0687936102263
19,0.17755102040816328,-1279.3910560673853
20,0.1816326530612245,-1324.2461634997649
21,0.18571428571428572,-1367.7120302133849
22,0.18979591836734694,-1409.860835893908
23,0.19387755102040818,-1450.759560265204
24,0.1979591836734694,-1490.470457838594
25,0.20204081632653062,-1529.0514805472992
26,0.20612244897959187,-1566.5566549113883
27,0.21020408163265308,-1603.0364194178856
28,0.2142857142857143,-1638.537926994662
29,0.21836734693877552,-1673.1053167780221
30,0.22244897959183674,-1706.7799588003613
31,0.22653061224489798,-1739.6006747380536
32,0.2306122448979592,-1771.603937446188
33,0.23469387755102042,-1802.8240516539715
34,0.23877551020408164,-1833.2933178927442
35,0.24285714285714288,-1863.0421814695223
36,0.2469387755102041,-1892.0993680761107
37,0.2510204081632653,-1920.492007431526
38,0.2551020408163266,-1948.2457461891768
39,0.25918367346938775,-1975.3848511960198
40,0.263265306122449,-2001.932304065609
41,0.2673469387755102,-2027.9098879177227
42,0.27142857142857146,-2053.338267041977
43,0.2755102040816327,-2078.237060159377
44,0.2795918367346939,-2102.6249078826568
45,0.2836734693877551,-2126.519534911967
46,0.28775510204081634,-2149.9378074459396
47,0.2918367346938776,-2172.8957862382254
48,0.29591836734693877,-2195.4087756855424
49,0.30000000000000004,-2217.491369294244
