,Final Volume (Vf) [m³],Isothermal Work (J)
0,0.1,-0.0
1,0.10408163265306122,-99.78130831015962
2,0.10816326530612246,-195.72392376072122
3,0.11224489795918369,-288.1123086510321
4,0.1163265306122449,-377.2004322266365
5,0.12040816326530612,-463.21597907766625
6,0.12448979591836735,-546.3638556680465
7,0.1285714285714286,-626.8291309423711
8,0.1326530612244898,-704.7795171947528
9,0.13673469387755102,-780.3674748428705
10,0.14081632653061227,-853.7320075174849
11,0.14489795918367349,-925.0002005867285
12,0.1489795918367347,-994.2885458992189
13,0.15306122448979592,-1061.7040874309175
14,0.15714285714285714,-1127.3454161277614
15,0.16122448979591839,-1191.3035371553206
16,0.1653061224489796,-1253.6626287027234
17,0.16938775510204082,-1314.500708217485
18,0.17346938775510207,-1373.8902193005645
19,0.17755102040816328,-1431.8985503364365
20,0.1816326530612245,-1488.5884941703353
21,0.18571428571428572,-1544.0186566957088
22,0.18979591836734694,-1598.243821017919
23,0.19387755102040818,-1651.3152728670486
24,0.1979591836734694,-1703.2810921051137
25,0.20204081632653062,-1754.1864144805588
26,0.20612244897959187,-1804.073667201322
27,0.21020408163265308,-1852.9827814074458
28,0.2142857142857143,-1900.9513842093322
29,0.21836734693877552,-1948.0149726055192
30,0.22244897959183674,-1994.207071293827
31,0.22653061224489798,-2039.5593761333619
32,0.2306122448979592,-2084.1018847950936
33,0.23469387755102042,-2127.863015949877
34,0.23877551020408164,-2170.8697181799225
35,0.24285714285714288,-2213.147569658983
36,0.2469387755102041,-2254.720869524574
37,0.2510204081632653,-2295.612721759536
38,0.2551020408163266,-2335.845112307966
39,0.25918367346938775,-2375.4389800699782
40,0.263265306122449,-2414.41428234925
41,0.2673469387755102,-2452.790055265464
42,0.27142857142857146,-2490.584469589478
43,0.2755102040816327,-2527.814882411169
44,0.2795918367346939,-2564.4978850077164
45,0.2836734693877551,-2600.649347242766
46,0.28775510204081634,-2636.284458793868
47,0.2918367346938776,-2671.417767476255
48,0.29591836734693877,-2706.0632149049598
49,0.30000000000000004,-2740.2341697140773
